id_transacao,data_transacao,valor,tipo,categoria,descricao,conta_origem
TRX-201-2024,2024-01-15,1500.00,CREDITO,SALARIO,Salario janeiro,CC-12345
TRX-202-2024,2024-01-16,45.90,DEBITO,ALIMENTACAO,Supermercado,CC-12345
TRX-203-2024,2024-01-17,150.00,DEBITO,TRANSPORTE,Combustivel,CC-12345
TRX-204-2024,2024-01-18,800.00,DEBITO,MORADIA,Aluguel parcial,CC-12345
TRX-205-2024,2024-01-19,120.50,DEBITO,SAUDE,Farmacia,CC-12345
TRX-206-2024,2024-01-20,250.00,DEBITO,EDUCACAO,Curso online,CC-12345
TRX-207-2024,2024-01-21,89.90,DEBITO,LAZER,Cinema e jantar,CC-12345
TRX-208-2024,2024-01-22,500.00,DEBITO,INVESTIMENTO,Aporte mensal,CC-12345
TRX-209-2024,2024-01-23,200.00,DEBITO,TRANSFERENCIA,Transferencia PIX,CC-12345
TRX-210-2024,2024-01-24,35.00,DEBITO,OUTROS,Taxa bancaria,CC-12345
TRX-211-2024,2024-01-25,2500.00,CREDITO,SALARIO,Bonus,CC-12345
TRX-212-2024,2024-01-26,67.80,DEBITO,ALIMENTACAO,Restaurante,CC-12345
TRX-213-2024,2024-01-27,220.00,DEBITO,TRANSPORTE,Manutencao carro,CC-12345
TRX-214-2024,2024-01-28,450.00,DEBITO,MORADIA,Condominio,CC-12345
TRX-215-2024,2024-01-29,85.00,DEBITO,SAUDE,Consulta medica,CC-12345
